"congress","senator_name","senator_party","senator_state"
"118th","Lisa Murkowski","R","AK"
"118th","Dan Sullivan","R","AK"
"118th","Tommy Tuberville","R","AL"
"118th","Katie Britt","R","AL"
"118th","John Boozman","R","AR"
"118th","Tom Cotton","R","AR"
"118th","Kyrsten Sinema","I","AZ"
"118th","Mark Kelly","D","AZ"
"118th","Dianne Feinstein","D","CA"
"118th","Alex Padilla","D","CA"
"118th","Laphonza Butler","D","CA"
"118th","Adam Schiff","D","CA"
"118th","Michael Bennet","D","CO"
"118th","John Hickenlooper","D","CO"
"118th","Richard Blumenthal","D","CT"
"118th","Chris Murphy","D","CT"
"118th","Tom Carper","D","DE"
"118th","Chris Coons","D","DE"
"118th","Marco Rubio","R","FL"
"118th","Rick Scott","R","FL"
"118th","Jon Ossoff","D","GA"
"118th","Brian Schatz","D","HI"
"118th","Mazie Hirono","D","HI"
"118th","Chuck Grassley","R","IA"
"118th","Joni Ernst","R","IA"
"118th","Mike Crapo","R","ID"
"118th","Jim Risch","R","ID"
"118th","Dick Durbin","D","IL"
"118th","Tammy Duckworth","D","IL"
"118th","Todd Young","R","IN"
"118th","Mike Braun","R","IN"
"118th","Jerry Moran","R","KS"
"118th","Roger Marshall","R","KS"
"118th","Mitch McConnell","R","KY"
"118th","Rand Paul","R","KY"
"118th","Bill Cassidy","R","LA"
"118th","John Kennedy","R","LA"
"118th","Elizabeth Warren","D","MA"
"118th","Ed Markey","D","MA"
"118th","Ben Cardin","D","MD"
"118th","Chris Van Hollen","D","MD"
"118th","Susan Collins","R","ME"
"118th","Angus King","I","ME"
"118th","Debbie Stabenow","D","MI"
"118th","Gary Peters","D","MI"
"118th","Amy Klobuchar","D","MN"
"118th","Tina Smith","D","MN"
"118th","Josh Hawley","R","MO"
"118th","Eric Schmitt","R","MO"
"118th","Roger Wicker","R","MS"
"118th","Cindy Hyde-Smith","R","MS"
"118th","Jon Tester","D","MT"
"118th","Steve Daines","R","MT"
"118th","Thom Tillis","R","NC"
"118th","Ted Budd","R","NC"
"118th","John Hoeven","R","ND"
"118th","Kevin Cramer","R","ND"
"118th","Deb Fischer","R","NE"
"118th","Ben Sasse","R","NE"
"118th","Pete Ricketts","R","NE"
"118th","Jeanne Shaheen","D","NH"
"118th","Maggie Hassan","D","NH"
"118th","Bob Menendez","D","NJ"
"118th","Cory Booker","D","NJ"
"118th","George Helmy","D","NJ"
